Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes,Cuisines Colours
Hotspot,Koramangala,3.1,56,250,['1230 PM'],['1130 PM'],North Indian,['Home Delivery'],"['Report Error', 'Claimed listing']",[],[],[],[],[],0
Vitamin Palace,Koramangala,3.8,542,650,['11 AM'],['11 PM'],Cafe,[],[],[],"['FoodFaluda', 'Coffee']",[],[],[],7
Kulfi & More,Koramangala,3,54,100,['12 No'],['11 PM'],Ice Cream,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],[],[],[],[],14
Le Charcoal,Koramangala,3.8,5502,700,['12 No'],['12 Mi'],Arabian,"['Home Delivery', 'Outdoor Seating']","['Report Error', 'Claimed listing']",[],"['FoodChickenShawarama', 'AppleJuice', 'Shawarma', 'KadhaiPaneer', 'ChickenLollipop', 'AlFahamChicken']",[],[],[],28
Ande Ka Funda,Koramangala,NA,Not enough,200,['11 AM'],['11 PM'],North Indian,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[],0
Cafe Terra,Koramangala,3.6,5575,650,['8 AM'],['10 PM'],Cafe,"['Breakfast', 'Home Delivery']","['Featured in Collection', 'Great breakfasts']",[],"['FoodWaffles', 'EnglishBreakfast', 'Omelette', 'GingerChai', 'Coffee', 'Hashbrown']",['ServiceWeekendBrunch'],"['Look&FeelCosyAmbience', 'CozyPlace']",[],7
Gundappa Donne Biryani,Koramangala,2.9,518,200,['11 AM'],['11 PM'],Biryani,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[],4
Shalimar Chaska,Koramangala,NA,Not enough,200,['8 AM'],['12 Mi'],Fast Food,['Breakfast'],"['Report Error', 'Claim this listing']",[],[],[],[],[],3
WOW! Momo,Koramangala,3.3,511,400,['11 AM'],['11 PM'],Tibetan,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[],36
Bhoj Ghar Ka,Koramangala,NA,Not enough,300,['830 AM'],['945 PM'],Biryani,['Breakfast'],"['Report Error', 'Claim this listing']",[],[],[],[],[],4
Stoked!,Koramangala,NA,Not enough,800,['9 AM'],['11 PM'],Cafe,['Breakfast'],"['Report Error', 'Claim this listing']",[],[],[],[],[],7
Meghana Foods,Koramangala,4.1,54274,750,"['12 No', '7 PM']","['4 PM', '11 PM']",Biryani,['Home Delivery'],"['Featured in Collection', 'Brilliant biryanis']",[],"['FoodEggCurry', 'AndhraBiryani', 'Buttermilk', 'BonelessChickenBiryani', 'PaneerBiryani', 'HyderabadiChickenBiryani']","['ServiceCourteousStaff', 'FriendlyStaff']",[],[],4
Subway,Koramangala,3.2,59,600,['10 AM'],['1030 PM'],Fast Food,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[],3
Mustard Cafe,Koramangala,3.8,5555,750,['9 AM'],['10 PM'],Cafe,"['Breakfast', 'Home Delivery', 'Wifi']","['Featured in Collections', 'Great cafes', 'Great breakfasts']",[],"['FoodBlueberrySmoothie', 'MushroomBruschettas', 'BeefBurger', 'OperaCake', 'Breakfast', 'Cheesecake']",['ServiceFriendlyStaff'],"['Look&FeelDecor', 'CuteAmbience']",[],7
The Himalayan,Koramangala,3.8,541,1000,['12 No'],['1130 PM'],Korean,['Home Delivery'],"['Report Error', 'Claim this listing']",[],"['FoodKimchi', 'JasmineTea', 'StickyRice', 'PorkBibimbap']",[],[],[],49
Lalli's Restaurant,Koramangala,3.2,522,500,"['12 No', '7 PM']","['330 PM', '1030 PM']",Andhra,['Home Delivery'],"['Report Error', 'Claimed listing']",[],[],[],[],[],11
Off The Radar,Koramangala,3.8,527,600,NA,NA,Cafe,['Table booking not available'],"['Report Error', 'Claimed listing']",[],[],[],[],[],7
Saisha Foods,Koramangala,NA,Not enough,200,"['12 No', '7 PM']","['2 PM', '930 PM']",North Indian,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claim this listing']",[],[],[],[],[],0
Alankrutha,Koramangala,2.8,587,500,"['1130 AM', '630 PM']","['330 PM', '11 PM']",Andhra,"['Home Delivery', 'Serves Halal']","['Report Error', 'Claimed listing']",[],"['FoodChickenBiryani', 'MushroomBiryani']",[],[],[],11
Tayabbs,Koramangala,3.3,521,350,['12 No'],['12 Mi'],Fast Food,[],[],[],[],[],[],[],3
Chettinad Food House,Koramangala,2.9,55,300,['730 AM'],['1030 PM'],South Indian,"['Breakfast', 'Home Delivery']","['Report Error', 'Claimed listing']",[],[],[],[],[],2
New Friends,Koramangala,3.4,5230,900,['11 AM'],['11 PM'],North Indian,"['Home Delivery', 'Beer']","['Report Error', 'Claimed listing']",[],"['FoodHotPot', 'FrenchFries', 'GrilledChickenSteak', 'DraughtBeer']",[],[],[],0
Garden Fresh,Koramangala,NA,Not enough,200,['11 AM'],['11 PM'],Healthy Food,[],[],[],[],[],[],[],24
Lassi shop,Koramangala,3.4,535,100,['11 AM'],['12 Mi'],Beverages,"['Home Delivery', 'Seating Not Available', 'Vegetarian Only']","['Report Error', 'Claim this listing']",[],[],[],[],[],15
The Oriental Kitchen,Koramangala,3.8,5957,1000,['12 No'],['11 PM'],Thai,"['Home Delivery', 'BuffetValet Parking AvailableWifi']","['Featured in Collection', 'Pan-Asian delicacies']",[],"['FoodChickenMomos', 'VegDimSums', 'VegDimSum', 'HoneyChilliPotato', 'ClearSoup', 'CorianderSoup']","['ServiceCourteousStaff', 'FriendlyStaff']",[],[],22
Chitty Chitty Bang Bang,Koramangala,3.5,549,1200,['12 No'],['11 PM'],Continental,"['Wine and Beer', 'RooftopLive MusicValet Parking AvailableSmoking AreaNightlife']","['Report Error', 'Claimed listing']",[],"['FoodChittyChittyBangBang', 'ChickenNachos', 'ChickenPizza']",[],[],[],6
Nightfork,Koramangala,3.2,562,500,"['12 Mi', '12 No']","['6 AM', '12 Mi']",Chinese,"['Home Delivery', 'Seating Not Available', 'Serves Non Veg']","['Report Error', 'Claimed listing']",[],"['FoodChickenBiryani', 'DalMakhani']",[],[],[],1
Banchharam,Koramangala,3.4,598,200,['10 AM'],['10 PM'],Street Food,"['Vegetarian Only', 'Desserts and Bakes']","['Report Error', 'Claimed listing']",[],"['FoodMishtiDoi', 'Samosa', 'Rasmalai', 'Radhaballavi', 'AlooDum', 'Chamcham']",[],[],[],9
Indian Chicken Biryani Point,Koramangala,NA,Not enough,300,['10 AM'],['11 PM'],Biryani,[],[],[],[],[],[],[],4
Cake Yard,Koramangala,3.2,513,150,['8 AM'],['10 PM'],Desserts,"['Breakfast', 'Takeaway Only', 'Seating Not Available', 'Vegetarian Only', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],[],[],[],[],5
Tim Tai,Koramangala,4.3,52948,1600,"['12 No', '7 PM']","['330 PM', '1130 PM']",Chinese,"['Home Delivery', 'Outdoor Seating']","['Featured in Collection', 'Pan-Asian delicacies']",['Bright'],"['FoodPrawnDumplings', 'SeafoodNoodle', 'ShanghaiDimSum', 'PrawnDimSum', 'MaPoTofu', 'JungleeCurry']","['ServiceCourteousStaff', 'FriendlyStaff']","['Look&FeelDecor', 'LovelyAmbience']","['BananaLeafWrappedFishWithBalineseSpices', 'QuickFriedMixVegetablesWithGingerWineSauce', 'ThaiMassamanCurry', 'CornAndSpinachGauDimsums']",1
The Night King,Koramangala,NA,Not enough,400,['10 PM'],['330 AM'],North Indian,"['Home Delivery', 'Seating Not Available', 'Wallet Accepted']","['Report Error', 'Claim this listing']",[],[],[],[],[],0
Food-E,Koramangala,3.9,5171,400,['12 No'],['11 PM'],Continental,"['Home Delivery', 'Outdoor SeatingWifiSmoking Area']","['Featured in Collection', 'Pocket friendly']",[],"['FoodPalakPaneer', 'ChocolateSmoothie', 'Fries', 'GalautiBurger', 'PaneerBurger', 'KashmiriKahwa']",['ServiceCourteousStaff'],['Look&FeelDecor'],[],6
Night Panda,Koramangala,3.2,5163,500,['830 PM'],['330 AM'],Fast Food,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],"['FoodManchurian', 'ChickenDrumstick', 'Brownie', 'Breakfast']",[],[],[],3
Creamosaurus,Koramangala,3.3,510,250,['10 AM'],['10 PM'],Cafe,"['Home Delivery', 'Desserts and BakesBoard Games']","['Report Error', 'Claimed listing']",[],[],[],[],[],7
Box8,Koramangala,4,579,500,['11 AM'],['1 AM'],North Indian,"['Delivery Only', 'Seating Not Available']","['Known For', 'Indian meals - All-in-1 meals', 'Fusion Box', 'Biryani', 'Wraps', 'Sandwiches']","['Indianmeals-All-in-1meals', 'FusionBox', 'Biryani', 'Wraps']","['FoodGulabJamun', 'ChickenWrap', 'MasalaLemonade', 'Chocolava', 'IceTea', 'DalMakhaniMeal']",[],[],[],0
Calcutta Style Chats & Parotha,Koramangala,3,56,100,['8 AM'],['8 PM'],Street Food,[],[],[],[],[],[],[],9
Amravati,Koramangala,3.1,517,400,"['1130 AM', '7 PM']","['330 PM', '11 PM']",North Indian,['Home Delivery'],"['Report Error', 'Claimed listing']",[],[],[],[],[],0
A Cafe from Amande,Koramangala,3.2,59,650,['10 AM'],['11 PM'],Cafe,['Wallet Accepted'],"['Report Error', 'Claim this listing']",[],[],[],[],[],7
Hari Super Sandwich,Koramangala,3.6,536,200,['10 AM'],['930 PM'],Fast Food,"['Home Delivery', 'Seating Not Available', 'Vegetarian Only']","['Report Error', 'Claim this listing']",[],['FoodCornSandwich'],[],[],[],3
Freezing Pan,Koramangala,3.5,519,200,['10 AM'],['11 PM'],Desserts,['Desserts and BakesOutdoor Seating'],"['Report Error', 'Claim this listing']",[],[],[],[],[],5
Victoria Terminus,Koramangala,3,54,200,['11 AM'],['11 PM'],Fast Food,"['Home Delivery', 'Outdoor Seating']","['Report Error', 'Claimed listing']",[],[],[],[],[],3
Ammi's Biryani,Koramangala,2.4,5217,500,['12 No'],['11 PM'],Biryani,['Home Delivery'],"['Known For', 'Home-like taste with natural ingredients enhancing the flavour and aroma', 'meat marinated in hand-picked spices']",['Home-liketastewithnaturalingredientsenhancingtheflavourandaroma'],"['FoodChickenKebab', 'Kheer', 'HyderabadiChickenBiryani', 'MuttonBiryani', 'ChickenTikkaBiryani']",[],[],[],4
Maven Foods,Koramangala,3.1,55,300,NA,NA,Continental,"['Breakfast', 'Home Delivery']","['Report Error', 'Claimed listing']",[],[],[],[],[],6
Tandoor Hut,Koramangala,3.8,5878,400,"['11 AM', '730 PM']","['330 PM', '11 PM']",North Indian,['Home Delivery'],"['Featured in Collections', 'Pocket friendly', 'Flavours of Punjab']",[],"['FoodMurghPunjabi', 'ButterNaan', 'MuttonRoganjosh', 'Kulcha', 'Lassi', 'TandooriChicken']",[],[],[],0
FYI,Koramangala,3.7,5121,300,['11 AM'],['11 PM'],Pizza,['Home Delivery'],"['Report Error', 'Claimed listing']",[],"['FoodChocolateSandwich', 'Momos', 'Coffee']",['ServiceFriendlyStaff'],[],[],12
Crunch Pizzas,Koramangala,3.8,524,600,['24 Ho'],[],Italian,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[],10
Uday Sweets,Koramangala,3.3,516,250,['10 AM'],['10 PM'],Mithai,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],[],[],[],[],17
Namma Calcutta,Koramangala,NA,Not enough,500,['7 AM'],['1030 PM'],Fast Food,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[],3
Panch Phoron,Koramangala,3.1,5240,600,['12 No'],['11 PM'],Bengali,['Home Delivery'],"['Report Error', 'Claimed listing']",[],"['FoodDoiKatla', 'MishtiDoi', 'VegThali', 'AlooBhaja', 'ChickenKasha', 'DoiPotol']",[],[],[],29
Barbeque kitchen,Koramangala,NA,Not enough,200,['11 AM'],['11 PM'],North Indian,"['Home Delivery', 'Seating Not Available']","['Report Error', 'Claim this listing']",[],[],[],[],[],0
Parivaar,Koramangala,2.6,55,500,['7 PM'],['4 AM'],North Indian,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],[],[],[],[],0
Spicy Kababzzz,Koramangala,3.1,56,500,['12 No'],['1030 PM'],North Indian,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[],0
Savitha Family Restaurant,Koramangala,3.3,5107,500,"['11 AM', '7 PM']","['4 PM', '11 PM']",North Indian,['Home Delivery'],"['Report Error', 'Claimed listing']",[],"['FoodButterNaan', 'WheatParatha', 'EggBhurji', 'ChickenTikkaMasala']",[],[],[],0
Banana Beach Bar,Koramangala,3.4,5840,1000,['12 No'],['1130 PM'],North Indian,"['Wheelchair Accessible', 'Full Bar Available', 'NightlifeValet Parking AvailableSmoking AreaOutdoor Seating']","['Known For', ""It's Jamaican ambience""]",[],"['FoodChickenWings', 'Nachos', 'ChilliChicken', 'SpringRoll']",[],"['Look&FeelLiveMusic', 'Decor']",['DragonChicken'],0
Yummy Biryani,Koramangala,3,58,200,['12 No'],['11 PM'],Biryani,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[],4
Bangalore Time Out,Koramangala,3.3,530,600,"['12 No', '7 PM']","['4 PM', '11 PM']",Biryani,[],[],[],['ServiceCourteousStaff'],[],[],[],4
Kottaram Hotel,Koramangala,NA,Not enough,400,['11 AM'],['11 PM'],South Indian,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[],2
Blue Moustache,Koramangala,3.1,5397,900,['11 AM'],['11 PM'],Burger,"['Home Delivery', 'Serves Non Veg', 'Full Bar Available', 'NightlifeOutdoor SeatingLive Sports ScreeningLive MusicSmoking Area']","['Known For', 'their bowling alley']",[],"['FoodBeer', 'Nachos', 'ShepherdsPie', 'Shisha', 'BeefSatay', 'PeriPeriChicken']",['ServiceCourteousStaff'],"['Look&FeelBowlingAlley', 'Cozy']",[],25
Midnight Pizza Slurpp,Koramangala,3.6,580,700,"['12 Mi', '6 PM']","['8 AM', '12 Mi']",Italian,"['Delivery Only', 'Seating Not Available', 'Serves Halal']","['Report Error', 'Claimed listing']",[],[],[],[],[],10
Short Eats,Koramangala,NA,Not enough,100,['11 AM'],['11 PM'],Fast Food,"['Home Delivery', 'Vegetarian Only', 'Table booking not available']","['Report Error', 'Claimed listing']",[],[],[],[],[],3
Andal Mess,Koramangala,NA,Not enough,250,['1130 AM'],['1045 PM'],South Indian,['Breakfast'],"['Report Error', 'Claim this listing']",[],[],[],[],[],2
Chettayees,Koramangala,3.2,58,600,['730 AM'],['1130 PM'],Kerala,"['Breakfast', 'Wallet Accepted']","['Report Error', 'Claim this listing']",[],[],[],[],[],16
Zingron,Koramangala,3.8,5347,650,['1130 AM'],['11 PM'],Chinese,['Home Delivery'],"['Known For', 'Serving authentic Naga cuisine.']",[],"['FoodBeefChutney', 'SmokedPorkRibs', 'PorkMomos', 'PorkMeat', 'PorkPlatter', 'PlainRice']",['ServiceCourteousStaff'],['Look&FeelComfortableSeating'],"['RiceBeer', 'SmokedPorkRibs']",1
The Hole in the Wall Cafe,Koramangala,4.5,55086,600,"['8 AM', '530 PM']","['3 PM', '830 PM']",Cafe,"['Breakfast', 'Wheelchair Accessible', 'Outdoor Seating']","['Featured in Collections', 'Great cafes', 'Great breakfasts']",[],"['FoodWaffles', 'HealthyBreakfast', 'Pancakes', 'EnglishBreakfast', 'Omelette', 'GrapeJuice']","['ServiceCourteousStaff', 'FriendlyStaff']","['Look&FeelDecor', 'BreakfastJoint']","['Pancakes', 'Waffles', 'AllEnglishBreakfast', 'Chicken/Porky9Yards']",7
Kaaram,Koramangala,3.7,5114,500,['12 No'],['11 PM'],Andhra,"['Home Delivery', 'Serves Non Veg']","['Report Error', 'Claimed listing']",[],"['FoodVegBiryani', 'KaaramBiryani', 'ChickenBonelessBiryani', 'AndhraBiryani', 'KebabBiryani']",[],[],[],11
Dada's Kitchen,Koramangala,3.3,511,300,['9 PM'],['3 AM'],Bengali,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],[],[],[],[],29
Chef Corner,Koramangala,NA,Not enough,150,['12 No'],['12 Mi'],North Indian,[],[],[],[],[],[],[],0
Onesto,Koramangala,3.1,55,150,['10 AM'],['8 PM'],Bakery,"['Home Delivery', 'Seating Not Available', 'Pre-Ordering RequiredValet Parking AvailableDesserts and BakesHome Baker']","['Report Error', 'Claimed listing']",[],[],[],[],[],8
Hunger Hitman,Koramangala,3.4,585,300,['10 PM'],['4 AM'],North Indian,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],"['FoodButterChicken', 'GajarKaHalwa', 'ChilliChicken']",[],[],[],0
Fooodies,Koramangala,3.3,516,200,['11 AM'],['11 PM'],North Indian,"['Breakfast', 'Home Delivery', 'Wallet AcceptedSmoking Area']","['Report Error', 'Claimed listing']",[],[],[],[],[],0
The Choux Box,Koramangala,3.3,510,300,['11 AM'],['9 PM'],Desserts,"['Home Delivery', 'Seating Not Available', 'Desserts and BakesHome BakerPre-Ordering Required']","['Report Error', 'Claim this listing']",[],[],[],[],[],5
The Baker's,Koramangala,2.7,518,500,['11 AM'],['11 PM'],Bakery,"['Home Delivery', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],[],[],[],[],8
F5 Refresh,Koramangala,NA,Not enough,400,['7 AM'],['1030 PM'],Cafe,[],[],[],[],[],[],[],7
EveryDay Junction,Koramangala,3.7,547,250,['9 AM'],['11 PM'],Chinese,"['Home Delivery', 'Seating Not Available', 'Vegetarian Only']","['Report Error', 'Claimed listing']",[],[],[],[],[],1
Sweet Chariot Cafe,Koramangala,3.5,5110,500,['10 AM'],['1030 PM'],Desserts,"['Delivery Only', 'Seating Not Available', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],"['FoodChocolateMousse', 'PineapplePastry']",[],[],[],5
A2B - Adyar Ananda Bhavan,Koramangala,2.3,5168,350,['7 AM'],['11 PM'],South Indian,"['Breakfast', 'Home Delivery', 'Vegetarian Only']","['Known For', 'Wide Variety of South Indian Dishes']",[],"['FoodPongal', 'FilterCoffee', 'PavBhaji', 'Samosa', 'MasalaDosa']",[],[],[],2
Upsouth,Koramangala,3.8,5603,250,['8 AM'],['11 PM'],South Indian,"['Breakfast', 'Home Delivery', 'Vegetarian Only']","['Report Error', 'Claimed listing']",[],"['FoodFilterCoffee', 'ElaneerMousse', 'Breakfast', 'Appam', 'AlooBonda', 'MiniIdli']",['ServiceFriendlyStaff'],[],[],2
Nizam's Home Made Biryani,Koramangala,NA,Not enough,300,['1130 AM'],['10 PM'],Biryani,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claim this listing']",[],[],[],[],[],4
Toscano,Koramangala,4,5168,1500,['12 No'],['11 PM'],Italian,"['Full Bar Available', 'BuffetWifi']","['Report Error', 'Claimed listing']",[],"['FoodChickenBurger', 'Spaghetti', 'Cosmopolitan', 'Sangria', 'Tiramisu', 'Bruschettas']",['ServiceFriendlyService'],[],[],10
Little Kitchen,Koramangala,3.4,547,400,"['11 AM', '7 PM']","['4 PM', '11 PM']",North Indian,"['Home Delivery', 'Outdoor Seating']","['Report Error', 'Claim this listing']",[],['FoodChickenCurry'],[],[],[],0
Keralite Restaurant,Koramangala,NA,Not enough,400,['730 AM'],['11 PM'],Kerala,"['Breakfast', 'Home Delivery']","['Report Error', 'Claim this listing']",[],[],[],[],[],16
Late Night,Koramangala,2.4,537,500,['9 PM'],['4 AM'],North Indian,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],[],[],[],[],0
New Ambur Biryani,Koramangala,NA,Not enough,150,['12 No'],['1030 PM'],Biryani,[],[],[],[],[],[],[],4
Lucknowi Dabba,Koramangala,NA,Not enough,300,['11 AM'],['1030 PM'],North Indian,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claim this listing']",[],[],[],[],[],0
Fruitey.Juicy,Koramangala,3.4,525,150,['9 AM'],['10 PM'],Juices,['Desserts and Bakes'],"['Report Error', 'Claim this listing']",[],[],[],[],[],21
Avon Restaurant,Koramangala,3.2,561,350,['11 AM'],['11 PM'],Andhra,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[],11
Dyu Art Cafe,Koramangala,4.3,52298,800,['10 AM'],['1030 PM'],Cafe,['Wallet AcceptedOutdoor Seating'],"['Report Error', 'Claimed listing']",[],"['FoodCoffee', 'ChocolateCake', 'BannoffeePie', 'HotChocolate', 'Pancakes', 'ChickenSteakBurger']","['ServiceCourteousStaff', 'FriendlyStaff']","['Look&FeelLovelyAmbience', 'Decor']",[],7
Taste of Darjeeling,Koramangala,3.5,5101,300,['1130 AM'],['1030 PM'],Chinese,"['Home Delivery', 'Outdoor Seating']","['Report Error', 'Claimed listing']",[],"['FoodChickenMomos', 'ManchowSoup', 'ChilliChicken', 'Chowmein', 'ChickenFriedRice', 'PepperChicken']",[],[],[],1
Straight From The Heart,Koramangala,3,54,300,['11 AM'],['11 PM'],Desserts,"['Home Delivery', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],[],[],[],[],5
Papa John's Pizza,Koramangala,2.6,5252,750,['11 AM'],['11 PM'],Pizza,['Home Delivery'],"['Report Error', 'Claimed listing']",[],"['FoodPepperoniPizza', 'PotatoWedges', 'ThinCrustPizza', 'ChocolavaCake', 'FajitaPizza', 'CheeseSticks']",[],[],[],12
Shiv Sagar,Koramangala,3.6,5111,500,['11 AM'],['11 PM'],Chinese,"['Vegetarian Only', 'Desserts and BakesOutdoor Seating']","['Report Error', 'Claimed listing']",[],"['FoodCoffee', 'NeerDosa', 'Bhelpuri', 'SpringDosa', 'Pakoda', 'Lassi']",[],[],[],1
Krispy Kreme,Koramangala,3.6,522,300,['10 AM'],['11 PM'],Cafe,"['Vegetarian Only', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],[],[],[],[],7
Purani Dilli By Anand Sweets,Koramangala,3.7,590,400,['1130 AM'],['1030 PM'],North Indian,['Vegetarian Only'],"['Report Error', 'Claimed listing']",[],"['FoodBadamMilk', 'Lassi', 'Kulfi', 'CholeBhature', 'PavBhaji', 'Panipuri']",['Look&FeelComfortableSeating'],[],[],0
Tea Trails,Koramangala,3.9,5147,400,['9 AM'],['11 PM'],Cafe,"['Breakfast', 'Home Delivery', 'Wifi']","['Report Error', 'Claimed listing']",[],"['FoodMasalaTea', 'Bruschettas', 'ChickenSalad', 'AlfredoPasta', 'FruitCake', 'KulhadChai']",[],"['Look&FeelComfortableSeating', 'PeacefulAmbience']",[],7
Friends Night Kitchen,Koramangala,3.5,529,350,['10 PM'],['5 AM'],Fast Food,"['Home Delivery', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],[],[],[],[],3
Tarbouche,Koramangala,3.9,544,300,['11 AM'],['11 PM'],Turkish,"['Takeaway Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],"['FoodLambKebab', 'FalafelPlatter', 'ChickenKebabRoll', 'CrispyFalafel']",[],[],[],50
hwealthcafe,Koramangala,3.8,5109,900,['11 AM'],['11 PM'],Healthy Food,"['Home Delivery', 'Outdoor Seating']","['Report Error', 'Claimed listing']",[],"['FoodBruschettas', 'ChickenTikkaSandwich', 'Coffee', 'MinestroneSoup', 'Pancakes', 'ChickenSalad']",[],[],[],24
Nozomi,Koramangala,NA,Not enough,400,['7 AM'],['11 PM'],Kerala,"['Breakfast', 'Home Delivery']","['Report Error', 'Claim this listing']",[],[],[],[],[],16
The Black Pearl,Koramangala,4.1,55436,1400,"['12 No', '7 PM']","['4 PM', '1130 PM']",North Indian,"['Home Delivery', 'Full Bar Available', 'Live MusicValet Parking AvailableWifiBuffetOutdoor SeatingSmoking AreaRooftop']","['Featured in Collections', 'Live sports screenings', 'Great buffets', 'Rooftops', 'European & Mediterranean']",[],"['FoodCornFry', 'ChocolateBiscuit', 'ChickenKebab', 'Sangria', 'ChocolateGanache', 'PaneerMakhani']","['ServiceCourteousStaff', 'FriendlyStaff']","['Look&FeelDecor', 'LovelyAmbience']","['Veg.SeekhKabab', 'MuttonKebabs']",0
Pout,Koramangala,NA,Not enough,400,['11 AM'],['11 PM'],Charcoal Grill,[],[],[],[],[],[],[],61
Shawaya Food,Koramangala,3.3,521,550,"['1 PM', '6 PM']","['4 PM', '11 PM']",North Indian,"['Home Delivery', 'Wifi']","['Report Error', 'Claimed listing']",[],[],[],[],[],0
Sai Mango Tree Restaurant,Koramangala,3.4,513,550,['11 AM'],['11 PM'],Andhra,[],[],[],[],[],[],[],11
Kaaka T Cafe,Koramangala,NA,Not enough,400,['8 AM'],['1030 PM'],Fast Food,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[],3
Ministry of Pizza,Koramangala,4.3,5198,600,['12 No'],['11 PM'],Pizza,"['Home Delivery', 'Beer']","['Report Error', 'Claimed listing']",[],"['FoodMargarita', 'Beer', 'ChickenNachos', 'ChickenLasagne', 'CremeBrulee', 'ChickenPizza']",[],['Look&FeelDecor'],[],12
Mehak,Koramangala,3.2,57,350,['10 AM'],['10 PM'],North Indian,['Breakfast'],"['Report Error', 'Claim this listing']",[],[],[],[],[],0
CakeZone,Koramangala,4.3,5119,500,['7 AM'],['12 Mi'],Bakery,"['Delivery Only', 'Seating Not Available', 'Desserts and BakesWallet Accepted']","['Report Error', 'Claimed listing']",[],"['FoodCheesecake', 'ChocolateTruffle', 'Coffee', 'VanillaCupcake']",[],[],"['ChocolateTruffleCake', 'MixFruitCake']",8
Shyamali Fast Food Kolkata Style,Koramangala,NA,Not enough,250,['11 AM'],['11 PM'],Biryani,[],[],[],[],[],[],[],4
Emli,Koramangala,NA,Not enough,500,NA,NA,North Indian,"['Breakfast', 'Delivery Only', 'Seating Not Available']","['Report Error', 'Claim this listing']",[],[],[],[],[],0
Cuppa Bistro,Koramangala,3,580,600,['8 AM'],['11 PM'],Cafe,"['Breakfast', 'Home Delivery', 'Full Bar Available', 'Outdoor SeatingSmoking Area']","['Report Error', 'Claimed listing']",[],['FoodCoffee'],[],[],[],7
Kota Kachori,Koramangala,4.3,51259,400,['8 AM'],['10 PM'],Street Food,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Serves Jain Food']","['Featured in Collection', 'Pocket friendly']",[],"['FoodJalebi', 'MakhaniyaLassi', 'PyazKachori', 'CholeBhature', 'Rabri', 'Shrikhand']",[],[],"['PuriSabzi', 'IceCreamFalooda', 'MiniMalaiGhevar', 'KotaKachori', 'AluPyazKachori']",9
Sri Banashankari Donne Biriyani,Koramangala,2.6,58,150,"['7 AM', '7 PM']","['4 PM', '11 PM']",Biryani,"['Breakfast', 'Home Delivery']","['Report Error', 'Claim this listing']",[],[],[],[],[],4
Food Junction,Koramangala,3.3,535,350,['11 AM'],['11 PM'],North Indian,['Home Delivery'],"['Report Error', 'Claimed listing']",[],[],[],[],[],0
Rajdhani Thali Restaurant,Koramangala,3.9,5464,900,"['12 No', '730 PM']","['330 PM', '11 PM']",North Indian,"['Home Delivery', 'Vegetarian Only', 'Serves Jain Food']","['Known For', 'Vegetarian Rajasthani Thalis']",[],"['FoodMangoJalebi', 'RajasthaniThali', 'Rabri', 'Dhokla', 'Aamras', 'DalBatiChurma']",['ServiceCourteousStaff'],[],[],0
Jiyo Natural,Koramangala,3.3,512,300,['11 AM'],['830 PM'],Healthy Food,"['Delivery Only', 'Seating Not Available', 'Vegetarian Only', 'Slot Based DeliveryWallet AcceptedVariable MenuPre-Ordering Required']","['Report Error', 'Claim this listing']",[],[],[],[],[],24
