Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes
,Brigade Road,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[]
Moriz Nano Restaurant,Brigade Road,3.2,5156,600,['1130 AM'],['12 Mi'],"Seafood, Biryani, North Indian, Chinese, Arabian",['Home Delivery'],[],[],"['Shawarma', 'MuttonBiryani', 'ChilliChicken', 'GrilledChicken', 'RoyalFaluda', 'ButterNaan']",[],[],[]
Indian Kitchen,Brigade Road,4.2,5515,2000,"['12 No', '7 PM']","['3 PM', '11 PM']","North Indian, Mughlai, Mangalorean","['Wheelchair Accessible', 'Full Bar Available', 'Live Sports ScreeningSmoking AreaNightlifeValet Parking Available']",[],[],"['MulligatawnySoup', 'Kulcha', 'MangoShake', 'AchariPaneerTikka', 'ZaffraniGoshtShorba', 'ButterChicken']","['CourteousStaff', 'FriendlyStaff']",[],[]
The Hub - Ibis Hotel,Brigade Road,3.2,516,2200,['11 AM'],['1130 PM'],"Finger Food, Fast Food, Continental","['Full Bar Available', 'NightlifeSmoking AreaWifi']",[],[],[],[],[],[]
Residency Fresh Fruit Juice,Brigade Road,3,54,200,['8 AM'],['9 PM'],"Fast Food, Juices",[],[],[],[],[],[],[]
Hotel Zaiqa,Brigade Road,NA,Not enough,350,['12 No'],['11 PM'],"North Indian, Chinese","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Snowfall Cafe,Brigade Road,3.1,511,150,['10 AM'],['10 PM'],"South Indian, North Indian, Cafe",[],[],[],[],[],[],[]
Kerala Kitchen,Brigade Road,NA,Not enough,200,['9 AM'],['10 PM'],"Kerala, South Indian","['Breakfast', 'Home Delivery']",[],[],[],[],[],[]
Munchies,Brigade Road,3.3,541,250,['10 AM'],['845 PM'],Fast Food,[],[],[],[],[],[],[]
Hoppipola,Brigade Road,3.6,51104,1300,['1230 PM'],['11 PM'],"Continental, Mediterranean, European","['Full Bar Available', 'NightlifeWallet AcceptedValet Parking AvailableWifiLive Sports ScreeningOutdoor SeatingSmoking Area']",['Best bars & pubs'],[],"['ChickenBurger', 'Nachos', 'PotatoWedges', 'BasilMojito', 'Margarita', 'LongIslandIcedTea']",['FriendlyStaff'],"['Decor', 'Dj']",[]
Mad Over Donuts,Brigade Road,3.8,5101,250,['11 AM'],['11 PM'],Desserts,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
My Way Little Dinette,Brigade Road,3.4,554,600,['9 AM'],['11 PM'],"Continental, Parsi","['Breakfast', 'Serves Non Veg', 'All Day Breakfast']",[],[],"['MuttonKeema', 'ChickenFarcha', 'KeemaPav', 'CaramelCustard', 'PatraNiMachhi', 'Lassi']",[],[],[]
RS Shiv Sagar,Brigade Road,3.1,562,250,['11 AM'],['11 PM'],"South Indian, North Indian, Street Food",['Vegetarian Only'],[],[],"['CholeBhature', 'PavBhaji', 'DahiVada', 'Dhokla', 'MasalaDosa', 'Lassi']",[],[],[]
Memories of China - Vivanta By Taj,Brigade Road,4.2,5353,3000,"['1230 PM', '7 PM']","['3 PM', '11 PM']",Chinese,"['Wheelchair Accessible', 'Full Bar Available', 'Valet Parking Available4/5 StarLuxury DiningWifi']",['Pan-Asian delicacies'],[],"['DimSum', 'ChocolateCake', 'LongIslandIcedTea', 'VegDimSums', 'CrispyBabycorn', 'VegManchowSoup']",[],[],[]
Trivoli Garden - The Capitol,Brigade Road,3.2,512,1500,"['1230 PM', '7 PM']","['330 PM', '1130 PM']","Continental, Mughlai","['Full Bar Available', 'Outdoor SeatingWifi4/5 Star']",[],[],[],[],[],[]
Hard Rock Cafe,Brigade Road,4.6,53815,2500,['12 No'],['1 AM'],American,"['Breakfast', 'Full Bar Available', 'Live Sports ScreeningValet Parking AvailableSmoking AreaKaraokeNightlifeLive MusicPrivate ParkingOutdoor Seating']",['Kickass burgers'],[],"['Nachos', 'LegendaryHrcBurger', 'NonVegPlatter', 'PorkRibs', 'Sangria', 'Beer']","['CourteousStaff', 'FriendlyStaff']","['ClassyPlace', 'Decor']","['NonVegetarianJumboCombo', 'Legendary10OzBurger']"
Biker's Shack,Brigade Road,3.8,561,800,['1130 AM'],['1130 PM'],"Cafe, Chinese, Continental","['Vegetarian Only', 'Smoking AreaLive Sports ScreeningLive MusicValet Parking Available']",[],[],[],[],[],[]
Vinaya Sagar,Brigade Road,3,55,250,['730 AM'],['1030 PM'],"South Indian, North Indian","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
,Brigade Road,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[]
Chocolate Junction,Brigade Road,3.1,517,200,['10 AM'],['8 PM'],Desserts,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Cafe Cerrise,Brigade Road,3.7,570,600,['11 AM'],['7 PM'],"Cafe, Continental","['Home Delivery', 'WifiOutdoor Seating']",[],[],"['ChocolateMousse', 'BannoffeePie', 'TomatoSandwich', 'WhiteSaucePasta', 'GrilledFish', 'WatermelonJuice']",['Decor'],[],[]
Dasaprakash,Brigade Road,3.6,5124,400,['12 No'],['10 PM'],"South Indian, Fast Food","['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['MasalaDosa', 'FilterCoffee', 'OnionDosa', 'PotatoFilling', 'Samosa']",[],[],"['IrishStew', 'Pongal', 'BananaDosa']"
Mahesh Lunch Home,Brigade Road,3.9,5604,1400,"['1130 AM', '7 PM']","['330 PM', '1130 PM']","Seafood, Mangalorean, North Indian, Chinese","['Home Delivery', 'Full Bar Available']",['Super seafood'],[],"['NeerDosa', 'Appam', 'JumboPrawn', 'CrabMasala', 'PrawnBiryani', 'LiveCrabs']",[],[],[]
New Hilal Restaurant,Brigade Road,3.4,559,550,['9 AM'],['1130 PM'],"North Indian, Chinese",['Breakfast'],[],[],"['GheeRice', 'ButterChicken', 'MuttonSeekhKebab', 'ChickenKebab', 'MuttonChops']",[],[],[]
Tewari Bros Mithai Shoppie,Brigade Road,3.6,538,200,['9 AM'],['10 PM'],"Fast Food, Mithai","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],"['ClubKachori', 'Rasmalai', 'Dhokla', 'Jalebi']",[],[],[]
C Sharp Kitchen,Brigade Road,2.7,528,300,['830 AM'],['1 AM'],"North Indian, Chinese, European","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
N.S Ambur Biryani,Brigade Road,NA,Not enough,200,['11 AM'],['10 PM'],Biryani,[],[],[],[],[],[],[]
Mudpipe Cafe,Brigade Road,3.9,5289,750,['11 AM'],['12 Mi'],"Cafe, Continental","['Wheelchair Accessible', 'Table booking not available', 'Live Sports ScreeningWallet AcceptedLive MusicValet Parking AvailableSmoking Area']","['Great cafes', 'Sheesha lounges']",[],"['Shisha', 'MargeritaPizza', 'MexicanRice', 'Nachos', 'Fries', 'KitkatShake']",['PromptService'],[],[]
VT Sindhur Veg,Brigade Road,3,58,600,['7 AM'],['11 PM'],"North Indian, Chinese","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Mehfil,Brigade Road,3.7,532,900,"['12 No', '7 PM']","['330 PM', '1130 PM']",Mughlai,"['Home Delivery', 'Buffet']",[],[],[],[],[],[]
Lemon Rice,Brigade Road,3.1,58,100,['8 AM'],['10 PM'],South Indian,['Vegetarian Only'],[],[],[],[],[],[]
Five Star Chicken,Brigade Road,NA,Not enough,300,['10 AM'],['10 PM'],"Fast Food, Burger","['Home Delivery', 'Serves Halal']",[],[],[],[],[],[]
Faasos,Brigade Road,3.4,5122,500,['9 AM'],['1 AM'],"Fast Food, North Indian","['Home Delivery', 'Outdoor Seating']",[],[],['DalMakhani'],[],[],[]
Kabab Ghar,Brigade Road,2.7,522,500,['12 No'],['1030 PM'],North Indian,['Home Delivery'],[],[],[],[],[],[]
Grand Hamza,Brigade Road,3.7,549,500,['7 AM'],['1 AM'],"North Indian, Chinese",['Breakfast'],[],[],"['GheeRice', 'CeylonParatha', 'KeralaParatha']",[],[],[]
Cafe Mangii,Brigade Road,3.9,5449,1600,['1130 AM'],['1130 PM'],"Italian, Continental, Pizza","['Home Delivery', 'Wine', 'BuffetOutdoor Seating']",[],[],"['WoodfirePizza', 'GourmetPizza', 'MangoSmoothie', 'Sangria', 'WatermelonFetaSalad', 'MinestroneSoup']",['FriendlyStaff'],"['ComfortableSeating', 'Decor']",[]
Mac Fast Food,Brigade Road,2.5,535,400,['1030 AM'],['10 PM'],"Fast Food, Chinese","['Breakfast', 'Home Delivery', 'Wifi']",[],[],"['Fries', 'GobhiManchurian']",[],[],[]
Hotel Take 'a' Break,Brigade Road,NA,Not enough,500,['11 AM'],['11 PM'],North Indian,"['Home Delivery', 'Serves Halal']",[],[],[],[],[],[]
Feast and Burp,Brigade Road,NA,Not enough,300,['12 No'],['2 PM'],"North Indian, South Indian, Kerala","['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[]
Bheema's,Brigade Road,3.7,5489,650,"['12 No', '7 PM']","['330 PM', '1030 PM']",Andhra,['Home Delivery'],"['Legendary outlets', 'Brilliant biryanis']",[],"['ChickenBiryani', 'ChilliChicken', 'MuttonFry', 'AndhraThali', 'MuttonBiryani', 'VegBiryani']",['FriendlyStaff'],[],[]
Akshara,Brigade Road,3.7,5125,650,"['12 No', '7 PM']","['4 PM', '11 PM']",Andhra,['Home Delivery'],['Brilliant biryanis'],[],"['ChickenBiryani', 'PepperChicken', 'FishFry', 'Paya', 'VegBiryani', 'AndhraMeal']",['FriendlyStaff'],[],[]
Box8,Brigade Road,3.6,530,500,['11 AM'],['1 AM'],"North Indian, Biryani, Fast Food, Salad, Ice Cream","['Home Delivery', 'Seating Not Available']",[],"['Indianmeals-All-in-1meals', 'FusionBox', 'Biryani', 'Wraps']",['GulabJamun'],[],[],[]
Brik Oven,Brigade Road,4.6,5738,1000,NA,NA,Pizza,[],[],[],"['Waffles', 'BrownieShake', 'MushroomPizza', 'WoodfirePizza', 'HangoverShake', 'BigBangShake']",['FriendlyStaff'],['Decor'],[]
Biriyani Ghar,Brigade Road,2.8,548,350,['11 AM'],['11 PM'],"North Indian, Andhra",['Home Delivery'],[],[],"['Appam', 'ChickenCurry', 'Buttermilk', 'MuttonBiryani', 'ChickenBiryani']",[],[],[]
FreshMenu,Brigade Road,3.6,5116,500,['830 AM'],['1030 PM'],"Asian, Continental, Mediterranean, Salad, American","['Breakfast', 'Delivery Only', 'Seating Not Available']",[],[],"['PlainRice', 'PotatoWedges', 'GrilledFish']",[],[],[]
ZOROY Luxury Chocolate,Brigade Road,3.7,551,250,['11 AM'],['930 PM'],Desserts,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Mithai Ghar,Brigade Road,NA,Not enough,200,['11 AM'],['1030 PM'],Mithai,"['Takeaway Only', 'Seating Not Available', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Hook Up,Brigade Road,2.9,57,500,['10 AM'],['1130 PM'],"Arabian, Asian","['Breakfast', 'Home Delivery', 'Wheelchair Accessible', 'Smoking AreaLive Sports ScreeningLive Music']",[],[],[],[],[],[]
South Parade - The Chancery Hotel,Brigade Road,2.8,5100,1200,['24 Ho'],[],"North Indian, Continental, Chinese","['Breakfast', 'Full Bar Available', 'Valet Parking Available']",[],[],[],[],[],[]
Neffy's - Cakes & More,Brigade Road,2.6,521,300,['1130 AM'],['8 PM'],Bakery,"['Home Delivery', 'Outdoor SeatingDesserts and Bakes']",[],[],[],[],[],[]
Thoms Bakery,Brigade Road,3.9,5155,200,['8 AM'],['930 PM'],"Bakery, Desserts, Fast Food",['Desserts and Bakes'],[],[],"['PlumCake', 'Muffins', 'ChickenPuff', 'SpongeCake', 'FruitCake', 'VegSamosa']",[],[],[]
New Kudla,Brigade Road,NA,Not enough,500,"['1030 AM', '6 PM']","['4 PM', '1130 PM']","North Indian, South Indian",['Home Delivery'],[],[],[],[],[],[]
Rayaru's Kitchen,Brigade Road,3,58,300,['7 AM'],['4 PM'],South Indian,"['Breakfast', 'Home Delivery']",[],[],[],[],[],[]
The Lounge - The Chancery Pavilion,Brigade Road,3.4,528,1400,"['1230 PM', '730 PM']","['330 PM', '11 PM']","Chinese, North Indian, South Indian","['Full Bar Available', 'Valet Parking Available']",[],[],[],[],[],[]
Sakae Japanese Restaurant,Brigade Road,3.6,548,1400,['11 AM'],['12 Mi'],Japanese,['Smoking Area'],[],[],['Sushi'],[],[],[]
Bhaiyaji Food Court,Brigade Road,3.2,512,300,['8 AM'],['10 PM'],"North Indian, Mithai","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
A1 Ambur Biryani,Brigade Road,NA,Not enough,200,['12 No'],['10 PM'],Biryani,[],[],[],[],[],[],[]
Sagar Delicacy,Brigade Road,3.5,545,450,['12 No'],['11 PM'],"North Indian, Chinese, Fast Food, Street Food",['Vegetarian Only'],[],[],[],[],[],[]
The Pink Poppadom - Hyatt Bangalore MG Road,Brigade Road,3.8,5140,2300,['7 PM'],['11 PM'],"North Indian, Continental","['Full Bar Available', '4/5 StarLuxury Dining']",['Luxury dining'],[],"['ChickenTikka', 'SoyaChaap', 'Kulcha', 'PrawnBiryani', 'MakkiDiRoti', 'ButterChicken']",[],[],[]
Blue Bell Sweets,Brigade Road,NA,Not enough,100,['930 AM'],['8 PM'],"Mithai, Desserts","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
K V Canteen,Brigade Road,3.1,511,100,"['7 AM', '1230 PM']","['11 AM', '330 PM']",South Indian,"['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
Deccan Spices,Brigade Road,3.2,59,500,['12 No'],['1030 PM'],"Biryani, Mughlai, Fast Food",['Home Delivery'],[],[],[],[],[],[]
Tibbs Frankie,Brigade Road,3.2,545,200,['12 No'],['11 PM'],Street Food,[],[],[],[],[],[],[]
Khazana Food Paradise,Brigade Road,3.9,5206,300,['12 No'],['11 PM'],"Biryani, South Indian, Fast Food",['Home Delivery'],['Brilliant biryanis'],[],"['BeefBiryani', 'ChickenKebab', 'ChickenBiryani', 'SeekhKebab', 'HyderabadiBiryani', 'GheeRice']",['FriendlyStaff'],[],['MuttonBiriyani.']
Visantoe,Brigade Road,NA,Not enough,500,['11 AM'],['11 PM'],"North Indian, Chinese","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Lotus Royal Cuisine,Brigade Road,2.9,56,750,"['1 PM', '7 PM']","['4 PM', '11 PM']","North Indian, Chinese",['Wifi'],[],[],[],[],[],[]
Bangalore Bistro,Brigade Road,3.8,5125,1500,"['12 No', '7 PM']","['330 PM', '11 PM']",Mediterranean,"['Full Bar Available', 'Valet Parking AvailableOutdoor Seating']",[],[],"['Enchiladas', 'StuffedMushroom', 'BruschettasPlatter', 'Chateaubriand', 'BlueberryCheesecake']",[],"['Decor', 'RomanticDinner']",[]
Nithyothsav - Hotel Ramanashree,Brigade Road,3.2,531,1000,['7 AM'],['11 PM'],"North Indian, Chinese","['Breakfast', 'Home Delivery', 'Full Bar Available', 'Valet Parking AvailableBuffet']",[],[],[],[],[],[]
Cafe Treat - The Pride Hotel,Brigade Road,3.1,554,1000,['7 AM'],['1130 PM'],"Continental, Asian, Italian","['Breakfast', 'Full Bar Available', 'Valet Parking Available4/5 StarOutdoor Seating']",[],[],['LunchBuffet'],[],[],[]
Hotel Karavali Beach,Brigade Road,3.2,512,500,['11 AM'],['11 PM'],"Seafood, Mangalorean, Chinese",['Home Delivery'],[],[],[],[],[],[]
Mainland China,Brigade Road,3.7,5727,1700,"['12 No', '7 PM']","['330 PM', '11 PM']",Chinese,"['Home Delivery', 'Full Bar Available', 'Buffet']",['ICICI Bank Culinary Treats'],['Thebestofitskind'],"['HunanTofu', 'DimSum', 'JumboPrawn', 'Momos', 'SweetCornSoup', 'CrispyCornChilliPepper']",['CourteousStaff'],[],[]
Hotel Ashoka,Brigade Road,3.1,55,200,['10 AM'],['8 PM'],South Indian,"['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
70 Brigade - Iris Hotel,Brigade Road,3.5,592,1000,['7 AM'],['1045 PM'],"Chinese, North Indian, Pizza","['Breakfast', 'Wheelchair Accessible', 'Valet Parking AvailableBuffet']",[],[],"['ChocolateIceCream', 'LunchBuffet']",[],[],[]
InBento,Brigade Road,NA,Not enough,450,"['12 No', '7 PM']","['3 PM', '11 PM']",Japanese,"['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[]
Bharathi Dosa Camp,Brigade Road,3,54,100,['2 PM'],['11 PM'],South Indian,['Vegetarian Only'],[],[],[],[],[],[]
Koshys Calcutta Chats,Brigade Road,3,547,200,['12 No'],['11 PM'],Fast Food,[],[],[],"['Sevpuri', 'Bhelpuri', 'Panipuri']",[],[],[]
Baskin Robbins,Brigade Road,3.2,58,300,['10 AM'],['11 PM'],Ice Cream,"['Home Delivery', 'Vegetarian Only', 'Desserts and BakesOutdoor Seating']",[],[],[],[],[],[]
Midnight Express,Brigade Road,2.7,525,650,['11 PM'],['7 AM'],"North Indian, Chinese, Continental","['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[]
Alice Cuisine Home Made,Brigade Road,NA,Not enough,300,"['1130 AM', '6 PM']","['4 PM', '10 PM']","North Indian, Biryani, South Indian",['Home Delivery'],[],[],[],[],[],[]
Halli Oota,Brigade Road,3.2,57,250,"['1230 PM', '630 PM']","['330 PM', '11 PM']",South Indian,['Home Delivery'],[],[],[],[],[],[]
Portland Steakhouse & Cafe,Brigade Road,4.3,51557,1500,['1130 AM'],['11 PM'],"Steak, Italian, Continental, American, Burger","['Home Delivery', 'Wheelchair Accessible', 'Wine', 'Outdoor Seating']","['Romantic', 'European & Mediterranean']",[],"['Spaghetti', 'BeefSteak', 'BbqChickenPizza', 'ApplePie', 'Mojito', 'CremeBrulee']","['CourteousStaff', 'FriendlyStaff']","['LovelyAmbience', 'Decor']","['OliveTapenadeBruschettas', 'CremeBrulee', 'ChipotleSupremeSteak']"
The French Loaf,Brigade Road,2.7,530,400,['730 AM'],['11 PM'],"Bakery, Desserts",['Desserts and Bakes'],[],[],[],[],[],[]
The Fisherman's Wharf,Brigade Road,3.8,5491,1100,['12 No'],['1 AM'],"Seafood, Continental, Goan, Asian","['Full Bar Available', 'Valet Parking AvailableSmoking Area']",['Super seafood'],[],"['GulabJamun', 'ChocolateCake', 'LunchBuffet', 'ChickenWings', 'GoanFishCurry', 'PrawnCurry']","['CourteousStaff', 'FriendlyStaff']",['Decor'],[]
New Arya Bhavan,Brigade Road,2.7,519,150,['11 AM'],['11 PM'],"Street Food, Beverages, North Indian","['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
Infinitea Tea Room & Tea Store,Brigade Road,4.1,5707,1000,['11 AM'],['11 PM'],"Continental, Cafe, Desserts","['Home Delivery', 'Valet Parking Available']",[],[],"['Momos', 'Tiramisu', 'Bruschettas', 'Mudpie', 'MasalaTea', 'MasalaChai']",['CourteousStaff'],['Decor'],"['Tiramisu', 'DarjeelingTea', 'GrilledBasilPestoChicken', 'BelgianDarkChocolateMacarons']"
My Space - ITC My Fortune,Brigade Road,NA,Not enough,2000,['11 AM'],['1145 PM'],Finger Food,"['Wheelchair Accessible', 'Full Bar Available', 'WifiNightlife']",[],[],[],[],[],[]
BISO - Citrus Hotels,Brigade Road,3.5,593,1100,['24 Ho'],[],"North Indian, South Indian, Italian, Continental","['Breakfast', 'Home Delivery', 'Wheelchair Accessible', 'Full Bar Available', 'Outdoor SeatingValet Parking AvailableBuffet']",[],[],"['Kulcha', 'IceTea', 'Panipuri']",[],[],[]
Manhattan,Brigade Road,NA,Not enough,1000,['11 AM'],['12 Mi'],"American, Finger Food","['Full Bar Available', 'NightlifeValet Parking AvailableSmoking Area']",[],[],[],[],[],[]
Jet Set - The Infantry Hotel,Brigade Road,2.8,521,650,['630 AM'],['11 PM'],"Continental, Italian",['Breakfast'],[],[],[],[],[],[]
Pai Vihar,Brigade Road,3.2,521,250,['730 AM'],['1030 PM'],"South Indian, Street Food, Chinese, Fast Food","['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
Chung's Chinese Corner,Brigade Road,3.1,5136,700,"['12 No', '7 PM']","['330 PM', '11 PM']",Chinese,['Home Delivery'],[],[],['ChickenLollipop'],[],[],[]
Roshan Taj,Brigade Road,NA,Not enough,200,['1130 AM'],['1130 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
Pao Walla By My way,Brigade Road,NA,Not enough,200,['9 AM'],['9 PM'],Street Food,['Breakfast'],[],[],[],[],[],[]
20 Feet High,Brigade Road,3.7,5550,1000,['11 AM'],['11 PM'],"American, Continental, Steak","['Full Bar Available', 'NightlifeOutdoor SeatingWifiLive Sports ScreeningValet Parking Available']","['Happy hours', 'Best bars & pubs']",[],"['NonVegPlatter', 'BeefSteak', 'MashPotato', 'Fries', 'LambRoast', 'ChickenSteak']","['CourteousStaff', 'FriendlyStaff']","['Decor', 'CozyPlace']",[]
Lakeview Milkbar,Brigade Road,3.8,51022,500,['9 AM'],['12 Mi'],"Desserts, Cafe, Bakery","['Breakfast', 'Home Delivery', 'Desserts and Bakes']","['Legendary outlets', 'Great cafes', 'Sweet tooth']",[],"['LambBurger', 'VanillaIceCream', 'Breakfast', 'MasalaOmelette', 'HotChocolateFudge', 'BrownieFudge']",[],[],[]
Amruth,Brigade Road,3.5,572,500,['830 AM'],['930 PM'],"South Indian, North Indian, Desserts","['Breakfast', 'Vegetarian Only', 'Desserts and Bakes']",[],[],"['MasalaDosa', 'FilterCoffee', 'PaneerButterMasala', 'ButterNaan', 'RavaDosa', 'IdliVada']",[],[],[]
Beer Republic,Brigade Road,3.5,51537,2500,['11 AM'],['11 PM'],"North Indian, Chinese, Mangalorean","['Home Delivery', 'Full Bar Available', 'Outdoor SeatingNightlifeRooftopPaid ParkingWifi']",['Microbreweries'],[],"['BbqChickenPizza', 'CraftBeer', 'PotatoWedges', 'Stout', 'WheatBeer', 'ChickenTenders']",['CourteousStaff'],"['Dj', 'OutdoorSeating']","['BarbequeChickenPizza', 'ChickenNachos', 'CoconutShrimpSkewers']"
Chai Point,Brigade Road,NA,Not enough,150,['8 AM'],['9 PM'],"Cafe, Fast Food","['Home Delivery', 'Vegetarian Only']",[],"['Highquality', 'Indianstyle']",[],[],[],[]
Koshy's,Brigade Road,3.6,51924,700,['9 AM'],['1130 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Full Bar Available']","['Legendary outlets', 'Great breakfasts']",[],"['Breakfast', 'Coffee', 'Omelette', 'Kulfi', 'ChocolateShake', 'PrawnBiryani']","['CourteousStaff', 'FriendlyStaff']","['BreakfastJoint', 'Decor']",[]
Cafe Coffee Day Square,Brigade Road,3.8,5321,450,['10 AM'],['11 PM'],Cafe,[],[],['PremiumoutletofCCD'],"['Coffee', 'ChocolateMousse', 'Cappuccino', 'DimSum', 'Momos', 'HotChocolate']",[],['Decor'],[]
Sultan Shah's Restaurant,Brigade Road,NA,Not enough,200,['8 AM'],['1130 PM'],North Indian,['Breakfast'],[],[],[],[],[],[]
KFC,Brigade Road,3.1,594,400,['11 AM'],['11 PM'],"American, Fast Food",['Home Delivery'],[],[],"['CrispyChicken', 'FriedChicken']",[],[],[]
The Permit Room,Brigade Road,4.3,5636,1500,['12 No'],['1130 PM'],South Indian,"['Wheelchair Accessible', 'Full Bar Available', 'NightlifeRooftopValet Parking AvailableSmoking AreaWifiOutdoor SeatingDrinking Age ApplicablePet Friendly']",[],[],"['ChickenCurry', 'CoinParatha', 'KokumSharbat', 'GheeRoastChicken', 'PrawnCocktail', 'DonneBiryani']","['CourteousStaff', 'FriendlyStaff']","['Decor', 'RooftopAmbience']",[]
Mighty Small,Brigade Road,3.9,5182,1200,['11 AM'],['11 PM'],"Continental, Chinese","['Serves Non Veg', 'Full Bar Available', 'Smoking AreaNightlife']",['Pocket friendly bars'],[],"['ChickenWings', 'FerreroRocherCake', 'LongIslandIcedTea', 'ChilliCheeseLollipops', 'CheeseLollipop', 'DraughtBeer']",['CourteousStaff'],['VirtualRealityGames'],[]
Siddiqu Kabab Center,Brigade Road,4.1,559,250,['5 PM'],['1130 PM'],North Indian,[],[],[],"['SeekhKebab', 'SeekhRoll', 'Samosa', 'VealKebab', 'RumaliRoti', 'BeefKebab']",[],[],[]
Subway,Brigade Road,3.3,550,600,['11 AM'],['11 PM'],"Fast Food, Salad, Healthy Food","['Home Delivery', 'Wallet Accepted']",[],[],[],[],[],[]
Ambur Dum Biryani,Brigade Road,NA,Not enough,300,['1130 AM'],['11 PM'],Biryani,['Home Delivery'],[],[],[],[],[],[]
Kavya Sagar,Brigade Road,NA,Not enough,250,['7 AM'],['10 PM'],"South Indian, North Indian","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
Mint Masala,Brigade Road,2.6,5212,1000,"['1230 PM', '7 PM']","['330 PM', '1045 PM']","North Indian, Chinese","['Vegetarian Only', 'Outdoor SeatingBuffetValet Parking AvailableWifi']",[],[],"['MintMasala', 'LunchBuffet', 'SweetCornSoup', 'SpringRoll', 'VegBuffet', 'Tikki']",[],[],[]
Ammi's Biryani,Brigade Road,NA,Not enough,500,['1030 AM'],['1030 PM'],"Biryani, North Indian",['Home Delivery'],[],[],[],[],[],[]
Apsara Hotel,Brigade Road,NA,Not enough,150,['11 AM'],['11 PM'],North Indian,[],[],[],[],[],[],[]
SE Catering,Brigade Road,NA,Not enough,200,['7 AM'],['4 PM'],"Chinese, North Indian, South Indian","['Breakfast', 'Home Delivery', 'Seating Not Available', 'Self Service']",[],[],[],[],[],[]
Kulfreeze,Brigade Road,4.2,581,200,['12 No'],['11 PM'],"Ice Cream, Desserts","['Vegetarian Only', 'Outdoor SeatingDesserts and Bakes']",[],[],[],[],[],[]
Hyderabad Biryaani House,Brigade Road,4.2,5809,600,"['1130 AM', '7 PM']","['4 PM', '1030 PM']","Biryani, North Indian, Chinese, Hyderabadi, Andhra",['Home Delivery'],['Brilliant biryanis'],[],"['HyderabadiBiryani', 'ChickenBiryani', 'MuttonBiryani', 'ButterChicken', 'VegBiryani', 'EggBiryani']",[],[],[]
RS Shiv Sagar,Brigade Road,3.9,5373,500,['8 AM'],['11 PM'],"Chinese, North Indian, Fast Food, Street Food, Desserts","['Breakfast', 'Vegetarian Only']",['Veggie friendly'],[],"['Brownie', 'ChocolateSizzler', 'Nachos', 'PaneerButterMasala', 'TomatoSoup', 'PavBhaji']",[],[],[]
Sweet Cherry,Brigade Road,2.8,539,600,['10 AM'],['11 PM'],Desserts,"['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[]
Drool,Brigade Road,3,56,250,"['12 No', '530 PM']","['4 PM', '10 PM']","North Indian, Chinese, South Indian","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Bang - The Ritz-Carlton,Brigade Road,4.1,5169,3000,['6 PM'],['1230 AM'],Finger Food,"['Full Bar Available', 'Outdoor SeatingSmoking AreaNightlifeRooftopValet Parking AvailableWifi']",['Rooftops'],[],['FieryChicken'],[],"['Decor', 'RooftopAmbience']",[]
