Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes
Onesto,Koramangala,3.1,55,150,['10 AM'],['8 PM'],Bakery,"['Home Delivery', 'Seating Not Available', 'Pre-Ordering RequiredValet Parking AvailableDesserts and BakesHome Baker']","['Report Error', 'Claimed listing']",[],[],[],[],[]
Hunger Hitman,Koramangala,3.4,585,300,['10 PM'],['4 AM'],North Indian,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],"['FoodButterChicken', 'GajarKaHalwa', 'ChilliChicken']",[],[],[]
Fooodies,Koramangala,3.3,516,200,['11 AM'],['11 PM'],North Indian,"['Breakfast', 'Home Delivery', 'Wallet AcceptedSmoking Area']","['Report Error', 'Claimed listing']",[],[],[],[],[]
The Choux Box,Koramangala,3.3,510,300,['11 AM'],['9 PM'],Desserts,"['Home Delivery', 'Seating Not Available', 'Desserts and BakesHome BakerPre-Ordering Required']","['Report Error', 'Claim this listing']",[],[],[],[],[]
The Baker's,Koramangala,2.7,518,500,['11 AM'],['11 PM'],Bakery,"['Home Delivery', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],[],[],[],[]
F5 Refresh,Koramangala,NA,Not enough,400,['7 AM'],['1030 PM'],Cafe,[],[],[],[],[],[],[]
EveryDay Junction,Koramangala,3.7,547,250,['9 AM'],['11 PM'],Chinese,"['Home Delivery', 'Seating Not Available', 'Vegetarian Only']","['Report Error', 'Claimed listing']",[],[],[],[],[]
Sweet Chariot Cafe,Koramangala,3.5,5110,500,['10 AM'],['1030 PM'],Desserts,"['Delivery Only', 'Seating Not Available', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],"['FoodChocolateMousse', 'PineapplePastry']",[],[],[]
A2B - Adyar Ananda Bhavan,Koramangala,2.3,5168,350,['7 AM'],['11 PM'],South Indian,"['Breakfast', 'Home Delivery', 'Vegetarian Only']","['Known For', 'Wide Variety of South Indian Dishes']",[],"['FoodPongal', 'FilterCoffee', 'PavBhaji', 'Samosa', 'MasalaDosa']",[],[],[]
Upsouth,Koramangala,3.8,5603,250,['8 AM'],['11 PM'],South Indian,"['Breakfast', 'Home Delivery', 'Vegetarian Only']","['Report Error', 'Claimed listing']",[],"['FoodFilterCoffee', 'ElaneerMousse', 'Breakfast', 'Appam', 'AlooBonda', 'MiniIdli']",['ServiceFriendlyStaff'],[],[]
Nizam's Home Made Biryani,Koramangala,NA,Not enough,300,['1130 AM'],['10 PM'],Biryani,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claim this listing']",[],[],[],[],[]
Toscano,Koramangala,4,5168,1500,['12 No'],['11 PM'],Italian,"['Full Bar Available', 'BuffetWifi']","['Report Error', 'Claimed listing']",[],"['FoodChickenBurger', 'Spaghetti', 'Cosmopolitan', 'Sangria', 'Tiramisu', 'Bruschettas']",['ServiceFriendlyService'],[],[]
Little Kitchen,Koramangala,3.4,547,400,"['11 AM', '7 PM']","['4 PM', '11 PM']",North Indian,"['Home Delivery', 'Outdoor Seating']","['Report Error', 'Claim this listing']",[],['FoodChickenCurry'],[],[],[]
Keralite Restaurant,Koramangala,NA,Not enough,400,['730 AM'],['11 PM'],Kerala,"['Breakfast', 'Home Delivery']","['Report Error', 'Claim this listing']",[],[],[],[],[]
Late Night,Koramangala,2.4,537,500,['9 PM'],['4 AM'],North Indian,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],[],[],[],[]
New Ambur Biryani,Koramangala,NA,Not enough,150,['12 No'],['1030 PM'],Biryani,[],[],[],[],[],[],[]
Lucknowi Dabba,Koramangala,NA,Not enough,300,['11 AM'],['1030 PM'],North Indian,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claim this listing']",[],[],[],[],[]
Fruitey.Juicy,Koramangala,3.4,525,150,['9 AM'],['10 PM'],Juices,['Desserts and Bakes'],"['Report Error', 'Claim this listing']",[],[],[],[],[]
Avon Restaurant,Koramangala,3.2,561,350,['11 AM'],['11 PM'],Andhra,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[]
Dyu Art Cafe,Koramangala,4.3,52298,800,['10 AM'],['1030 PM'],Cafe,['Wallet AcceptedOutdoor Seating'],"['Report Error', 'Claimed listing']",[],"['FoodCoffee', 'ChocolateCake', 'BannoffeePie', 'HotChocolate', 'Pancakes', 'ChickenSteakBurger']","['ServiceCourteousStaff', 'FriendlyStaff']","['Look&FeelLovelyAmbience', 'Decor']",[]
Taste of Darjeeling,Koramangala,3.5,5101,300,['1130 AM'],['1030 PM'],Chinese,"['Home Delivery', 'Outdoor Seating']","['Report Error', 'Claimed listing']",[],"['FoodChickenMomos', 'ManchowSoup', 'ChilliChicken', 'Chowmein', 'ChickenFriedRice', 'PepperChicken']",[],[],[]
Straight From The Heart,Koramangala,3,54,300,['11 AM'],['11 PM'],Desserts,"['Home Delivery', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],[],[],[],[]
Papa John's Pizza,Koramangala,2.6,5252,750,['11 AM'],['11 PM'],Pizza,['Home Delivery'],"['Report Error', 'Claimed listing']",[],"['FoodPepperoniPizza', 'PotatoWedges', 'ThinCrustPizza', 'ChocolavaCake', 'FajitaPizza', 'CheeseSticks']",[],[],[]
Shiv Sagar,Koramangala,3.6,5111,500,['11 AM'],['11 PM'],Chinese,"['Vegetarian Only', 'Desserts and BakesOutdoor Seating']","['Report Error', 'Claimed listing']",[],"['FoodCoffee', 'NeerDosa', 'Bhelpuri', 'SpringDosa', 'Pakoda', 'Lassi']",[],[],[]
Krispy Kreme,Koramangala,3.6,522,300,['10 AM'],['11 PM'],Cafe,"['Vegetarian Only', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],[],[],[],[]
Purani Dilli By Anand Sweets,Koramangala,3.7,590,400,['1130 AM'],['1030 PM'],North Indian,['Vegetarian Only'],"['Report Error', 'Claimed listing']",[],"['FoodBadamMilk', 'Lassi', 'Kulfi', 'CholeBhature', 'PavBhaji', 'Panipuri']",['Look&FeelComfortableSeating'],[],[]
Tea Trails,Koramangala,3.9,5147,400,['9 AM'],['11 PM'],Cafe,"['Breakfast', 'Home Delivery', 'Wifi']","['Report Error', 'Claimed listing']",[],"['FoodMasalaTea', 'Bruschettas', 'ChickenSalad', 'AlfredoPasta', 'FruitCake', 'KulhadChai']",[],"['Look&FeelComfortableSeating', 'PeacefulAmbience']",[]
Friends Night Kitchen,Koramangala,3.5,529,350,['10 PM'],['5 AM'],Fast Food,"['Home Delivery', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],[],[],[],[]
Tarbouche,Koramangala,3.9,544,300,['11 AM'],['11 PM'],Turkish,"['Takeaway Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],"['FoodLambKebab', 'FalafelPlatter', 'ChickenKebabRoll', 'CrispyFalafel']",[],[],[]
